"id"	"geneNum"	"description"	"gene"
"sce00760"	20	"Nicotinate and nicotinamide metabolism"	"YBR006W,YCL047C,YDL042C,YDR191W,YDR400W,YFR047C,YGL037C,YGL067W,YGL224C,YGR010W,YHR074W,YJR049C,YLR209C,YLR328W,YNL129W,YOL068C,YOR025W,YOR155C,YOR209C,YPL015C"
"sce00770"	23	"Pantothenate and CoA biosynthesis"	"YBR176W,YCL009C,YDR196C,YDR531W,YER073W,YGL154C,YGR277C,YHR063C,YHR208W,YIL083C,YIL145C,YJR016C,YJR148W,YKL088W,YLR355C,YMR020W,YMR108W,YMR110C,YMR169C,YMR170C,YOR374W,YPL061W,YPL148C"
"sce00780"	6	"Biotin metabolism"	"YDL141W,YER061C,YGR286C,YKL055C,YNR057C,YNR058W"
"sce00785"	12	"Lipoic acid metabolism"	"YAL044C,YBR221C,YDR019C,YDR148C,YER178W,YFL018C,YIL125W,YJL046W,YLR239C,YMR189W,YNL071W,YOR196C"
"sce00790"	11	"Folate biosynthesis"	"YBL033C,YDR481C,YGR267C,YHL018W,YKL132C,YMR113W,YMR289W,YNL256W,YNR033W,YOR236W,YOR241W"
"sce00791"	3	"Atrazine degradation"	"YBR208C,YFL061W,YNL335W"
"sce00860"	17	"Porphyrin metabolism"	"YAL039C,YBR213W,YDL120W,YDL205C,YDR044W,YDR047W,YDR232W,YER014W,YER141W,YGL040C,YGL245W,YKL087C,YKR069W,YOL033W,YOR176W,YOR278W,YPL172C"
"sce00900"	20	"Terpenoid backbone biosynthesis"	"YBR002C,YBR003W,YDL090C,YDL193W,YDR410C,YDR538W,YJL167W,YJR117W,YKL019W,YLR450W,YML075C,YML126C,YMR101C,YMR208W,YMR220W,YMR274C,YNR043W,YPL028W,YPL069C,YPL117C"
"sce00909"	2	"Sesquiterpenoid and triterpenoid biosynthesis"	"YGR175C,YHR190W"
"sce00910"	8	"Nitrogen metabolism"	"YAL062W,YDL171C,YDL215C,YIL164C,YJR149W,YNL036W,YOR375C,YPR035W"
"sce00920"	15	"Sulfur metabolism"	"YCL050C,YDR530C,YFR030W,YGR012W,YJR010W,YJR130C,YJR137C,YKL001C,YLL058W,YLR303W,YML082W,YNL277W,YOL064C,YOR251C,YPR167C"
"sce00970"	40	"Aminoacyl-tRNA biosynthesis"	"YBL013W,YBL076C,YBL080C,YBR121C,YCR024C,YDR023W,YDR037W,YDR268W,YDR341C,YER087W,YFL022C,YGL245W,YGR094W,YGR102C,YGR171C,YGR185C,YGR264C,YHR011W,YHR019C,YHR020W,YHR091C,YIL078W,YKL194C,YLL018C,YLR060W,YLR382C,YMR293C,YNL073W,YNL247W,YOL033W,YOL097C,YOR168W,YOR335C,YPL040C,YPL097W,YPL104W,YPL160W,YPR033C,YPR047W,YPR081C"
"sce00999"	3	"Biosynthesis of various plant secondary metabolites"	"YDR127W,YDR502C,YLR180W"
"sce01040"	10	"Biosynthesis of unsaturated fatty acids"	"YBR159W,YCR034W,YDL015C,YGL055W,YGL205W,YIL160C,YJL097W,YJL196C,YJR019C,YLR372W"
