Data,Dim,Max_ACF,Max_Lag
H3K14ac,1,0.9521228178724628,-5.88
H3K14ac,2,0.4496080301623761,47.7
H3K18ac,1,0.9707944412756404,-3.48
H3K18ac,2,0.9571988223560851,-3.48
H3K36me3,1,-0.6047644302700365,-28.26
H3K36me3,2,0.4723220315985766,60
H3K56ac,1,0.7262511258264317,40.620000000000005
H3K56ac,2,0.7654106450323366,50.04
H4K5ac,1,0.9031059936420415,-3.7800000000000002
H4K5ac,2,0.9302693225854277,-1.74
H4K16ac,1,-0.5809311752695507,-2.76
H4K16ac,2,0.7492982685510684,0
H3K4me3,1,0.8167258694107363,7.86
H3K4me3,2,0.63803564453604,11.16
H3K9ac,1,0.9570091307045522,-3.7800000000000002
H3K9ac,2,0.9167591124208444,-2.58
H3K14ac,1,0.9308381443217484,-4.62
H3K14ac,2,0.4826707372531412,43.08
H3K18ac,1,0.9726885583916678,-2.76
H3K18ac,2,0.9747938939499631,-3.7199999999999998
H3K36me3,1,-0.5930752453540188,-28.560000000000002
H3K36me3,2,0.4898901285900864,60
H3K56ac,1,0.7228248984784221,44.28
H3K56ac,2,-0.775829707121967,-29.46
H4K5ac,1,0.9121333054784456,-3.7199999999999998
H4K5ac,2,0.9159574891668921,-3.12
H4K16ac,1,-0.5952629664609579,-1.44
H4K16ac,2,0.7224190216230015,0
H3K4me3,1,0.8060633465964268,10.020000000000001
H3K4me3,2,0.6796856997845696,14.22
H3K9ac,1,0.941832810836087,-3.12
H3K9ac,2,0.9015887185064353,-1.98
H3K14ac,1,0.9231253603452227,-4.86
H3K14ac,2,0.49068400125712197,46.44
H3K18ac,1,0.9586185551354934,-2.88
H3K18ac,2,0.9608968589568007,-3.1799999999999997
H3K36me3,1,-0.5970508678362643,-28.62
H3K36me3,2,0.4693811596851737,60
H3K56ac,1,0.7407463698056712,42.599999999999994
H3K56ac,2,-0.7971315592199179,-28.44
H4K5ac,1,0.8879274993182614,-4.68
H4K5ac,2,0.9270166563993517,-3.96
H4K16ac,1,-0.5408078491967468,-2.1
H4K16ac,2,0.6722256249160895,0
H3K4me3,1,0.7900502729968898,10.62
H3K4me3,2,-0.6409847810026407,-60
H3K9ac,1,0.942877817730269,-4.2
H3K9ac,2,0.8987888020960694,-3.36
H3K14ac,1,0.9251095810993828,-5.16
H3K14ac,2,0.4336604011994058,46.38
H3K18ac,1,0.9735748160822162,-2.82
H3K18ac,2,0.9468978372957926,-2.88
H3K36me3,1,-0.5579337249850562,-60
H3K36me3,2,-0.5277947584953832,-36.18
H3K56ac,1,0.7538025631130775,43.379999999999995
H3K56ac,2,-0.770036827774005,-29.22
H4K5ac,1,0.8992515901350716,-3.5999999999999996
H4K5ac,2,0.9062992031932804,-6.0600000000000005
H4K16ac,1,-0.5694534077864103,-2.58
H4K16ac,2,0.7320533400946502,0
H3K4me3,1,0.8214118862620169,11.58
H3K4me3,2,0.6861839847902551,18.54
H3K9ac,1,0.9578937078006804,-3.7800000000000002
H3K9ac,2,0.8826889808536126,-2.46
H3K14ac,1,0.9424620315413534,-4.4399999999999995
H3K14ac,2,0.38398956436907716,43.56
H3K18ac,1,0.9603555902366435,-3.48
H3K18ac,2,0.9684658901062615,-4.2
H3K36me3,1,-0.5788259915958228,-29.34
H3K36me3,2,-0.4696120673709232,-37.14
H3K56ac,1,0.7189102338988413,40.86
H3K56ac,2,-0.7808621626108573,-29.16
H4K5ac,1,0.9013054135611359,-3.84
H4K5ac,2,0.8969986968009451,-3.9000000000000004
H4K16ac,1,-0.5332571834610407,-5.04
H4K16ac,2,0.705899480670282,-2.28
H3K4me3,1,0.7660370575622103,9.06
H3K4me3,2,0.6457123270824814,10.440000000000001
H3K9ac,1,0.9538658740430284,-3.7199999999999998
H3K9ac,2,0.8988303862944322,-3.54
H3K14ac,1,0.9138655893394034,-4.74
H3K14ac,2,0.43840014678548755,44.82
H3K18ac,1,0.956336929209282,-3.7800000000000002
H3K18ac,2,0.9613447395406561,-3.7800000000000002
H3K36me3,1,-0.6083832301446114,-28.740000000000002
H3K36me3,2,-0.5307010634292061,-34.56
H3K56ac,1,0.7570801507612446,42.120000000000005
H3K56ac,2,0.7683288426257281,50.4
H4K5ac,1,0.8885134380911619,-3.66
H4K5ac,2,0.9348710735663422,-2.94
H4K16ac,1,-0.5794912316039503,-1.38
H4K16ac,2,0.7083833737757953,0
H3K4me3,1,0.7664471306778751,9.96
H3K4me3,2,0.7034764064820507,15.42
H3K9ac,1,0.9179482246678468,-3.84
H3K9ac,2,0.8697395288382139,-3.36
H3K14ac,1,0.9204001614204373,-4.56
H3K14ac,2,0.420611195161018,45.42
H3K18ac,1,0.9658846353605894,-2.94
H3K18ac,2,0.949362370464492,-4.92
H3K36me3,1,-0.5563807491042899,-28.14
H3K36me3,2,-0.5101064100286112,-37.08
H3K56ac,1,0.7494512951613886,42.54
H3K56ac,2,-0.8102918860246557,-30.900000000000002
