Symbol,T1,T2,T3,T4,T6,T8,T9,T10,T11,T12,T13,T14,T15,T16
YBR208C,8.689206742811255,8.979780441130462,8.848730445734025,9.081758263698063,9.254109809278178,9.271463027904375,9.15645574864432,9.217387614711948,9.24280451143093,9.316008365613905,8.983286562917458,8.764410798087942,9.198865060468188,9.209883158382368
YBR209W,9.23559039212204,9.301136916167502,9.144985510232855,9.458319542342844,9.838284525889739,9.625708843064466,9.568964032678107,9.575308290844747,9.653325729376158,9.728552130353973,9.291941127031107,9.09630294018414,9.554044920005147,9.598718415515725
YBR210W,9.276692250749504,9.459705556108002,9.491459662882681,9.285306584843754,9.295862477473644,9.076815597050832,9.102396681408656,8.8515495097276,9.005072122797243,9.469325081385428,9.604303926190697,9.074968629339466,9.466034899206162,9.535376659150069
YBR211C,10.18028331900565,10.241146988938484,10.388505429669303,10.255211929842071,10.07251336038634,10.30149619498255,10.157717718827357,10.105795278966687,10.121876810932921,10.471768496711825,10.321671521458706,10.466653379863814,10.170048577827332,10.27802863824674
YBR212W,10.326241840630946,10.413364494512681,10.472448367703905,10.17616352674576,9.625541507799932,10.276124405274238,10.171535531810955,10.060194696263865,10.141603147576792,10.422536243756186,10.386839354366687,10.592099299021864,10.127650691087721,10.228825463422643
YBR213W,11.481627273589753,11.224069588458155,11.352850358431668,11.32520264753087,11.198319422471647,11.049848549450562,11.061828433974554,10.958191071624547,11.159051280127384,11.193729457585361,11.168858555071262,11.221125460149855,11.311926784155915,11.284688318177258
YBR214W,9.812150190471524,9.851758582766209,9.67762982245921,9.916948628879977,9.838284525889739,9.887220615468385,9.976388058751251,9.672795363910513,10.16657559079747,9.866427113542391,9.759998766350934,9.722156507386632,9.907264596693501,9.800783116422457
YBR215W,11.099667393514348,11.115074179603782,10.97204139205939,10.945100131471277,10.119775854574083,10.298062567719017,10.292579609725387,10.12068070394694,10.584048060777093,10.680617251772505,10.905331803604986,10.827175147359434,10.973878171620614,10.928802707359777
YBR216C,9.867009146229533,9.978350966620201,10.068445805764348,9.754484384483117,9.414325754011598,9.839203788096944,9.88175124467683,9.659265507025523,9.812981667368625,9.87690828765391,10.04041591787271,9.890365846076795,9.984528260187952,9.892106820465761
YBR217W,10.217221120874296,10.241146988938484,10.09222684398266,10.104535948470332,9.893720165615346,10.20212382383046,10.1526600650648,9.825967888942456,10.113339393365104,10.099081497237806,10.231412041207596,10.28348428909421,10.244682757693843,10.042060344906046
YBR218C,8.53143003204305,9.122962739758773,8.891524603793199,9.152846815895733,8.922146893902381,9.39231742277876,9.476866768247739,9.306878818651507,9.478216891924752,9.228686984901838,9.126903091609705,9.074968629339466,9.34172020123041,9.209883158382368
YBR219C,10.45878089890342,10.534155512391624,10.724026015980584,10.832066023141504,10.469081242196529,10.779719355143405,10.84381349932867,10.803811132298621,10.902488533049201,10.68956341549966,10.603376881863635,10.577002244700264,10.763851184342005,10.709611179073963
YBR220C,10.399117966366727,10.527455020749105,10.509225694724625,10.735015904026286,10.808942927689857,10.64565843240871,10.782105965058228,10.747382853313852,10.824436130830591,10.718989545502973,10.763262792832682,10.721302203482189,10.749942446521356,10.601658287267117
YBR221C,10.974669443002101,10.408510498776211,10.92940435965832,11.234473694514437,10.779812993971303,10.873444112515376,10.906749517853697,10.75376276481409,10.880854932102404,10.704351503469887,10.812519635916484,11.201571444082331,11.160687794267734,11.000916391330225
YBR221W-A,10.608243994073812,10.151026082178937,10.633282990317923,10.703791558052307,10.750082746150557,10.546894459887637,10.559440674933063,10.377727716849899,10.592263227514728,10.509305799422528,10.545092926539882,10.748507699102696,10.820402799981231,10.662214623417187
YBR222C,9.926917262080151,9.900973707375163,9.828408280513157,10.335983614646576,9.523795527207309,10.154818109052105,10.082587399710091,10.140291999452396,10.043157884389156,9.87690828765391,9.728918917990532,9.984906201457822,10.211235965976732,10.036352123861306
YBR223C,9.893675688899473,10.042419120833223,9.921320165976326,10.038134567932387,9.254109809278178,9.92035285541508,10.014523164526572,9.958916043576075,9.99749495832513,10.02562123771611,10.108004771052482,10.12643419280435,10.13836754521337,10.125079369068098
YBR223W-A,10.427599812276378,10.241146988938484,10.342977384726854,10.703791558052307,9.866268594078152,10.477758266443889,10.37306057764901,10.318707091155774,10.29795016943155,10.116876633749321,10.090179725008067,10.347159868527266,10.633564205575613,10.398616876433204
YBR224W,9.681905351366934,9.693159222359544,9.847164968118385,9.998246886624864,9.657922398075094,9.784634845557521,10.044867755564002,9.969918012836935,10.028096926877247,9.93323194791154,9.85709831713157,10.073630468939232,9.886225075375906,10.070267506005825
YBR225W,9.936275851764675,9.759468238516698,9.937456080349799,10.069969092585191,9.254109809278178,9.905387005018131,10.066542442339609,10.013105597344191,9.99439875478204,10.035010948144897,10.067170054084713,10.029950284189281,10.145468141596275,10.07584335715724
YBR226C,10.754287466375922,11.09557671931218,11.03542822340342,11.054345382461088,10.83749631137533,10.99929538702341,10.932798360822073,10.881609343341374,10.756612419017262,10.881355838933251,10.854401599596471,10.76192045009269,10.800298640579859,11.000916391330225
YBR227C,9.963992794216459,9.89404493235569,9.674132414767014,9.875515519607921,9.92065912795438,9.893301530860564,9.843029272338585,10.065333190608477,9.80593477198529,9.76850369821586,9.78237251706524,9.90252778585228,9.739092845437511,9.827470775556248
YBR228W,10.293845902267517,10.241146988938484,10.230801039397054,10.455955770835878,10.432113471116459,10.390168956200183,10.356659934590876,10.450227559402952,10.445814477241091,10.231573473651176,10.339613803153977,10.522882600756027,10.159565344361601,10.501636660139573
YBR229C,9.22798987055983,9.37266400034815,9.179930868112653,9.318078418996201,9.254109809278178,9.216745858195306,9.36761506184337,9.262827004323652,9.16232290074647,9.398344771459659,9.254601598864127,9.138047804986105,9.205674746389466,9.239994722653993
YBR230C,10.069823970728896,9.994636709388663,9.68807146060291,9.61758311518713,9.451746243907309,9.413627929024173,9.45031963689673,9.332678387838442,9.386719051153785,9.834518822567512,9.497706911696325,9.348267008157851,9.705856080593833,9.583141785137519
YBR230W-A,9.075407249165263,9.253208918594822,8.836266712225832,9.006984460908622,9.121071909380676,8.954196310386875,9.018699698337539,9.051222851986642,8.916245788606792,9.212226502207738,9.045153559911196,8.682143777626637,9.05545173829157,9.037725295431487
YBR231C,10.523854576839375,10.294741447648986,10.116910915742238,9.893418466398161,9.893720165615346,10.06339508128851,10.102395869566646,9.96442751578625,10.223216640670861,9.845233524539085,10.013156248486213,10.187348802210192,10.083968992461392,10.042060344906046
YBR232C,10.345687098352812,10.710149402571318,10.480480045435545,10.126568275923146,10.374822629009824,10.273795599214264,10.29487689417558,10.080639766198653,10.302964265044102,10.112448385106877,10.215056662670774,10.399587732002166,10.283821503777467,10.320920899685017
YBR233W,10.371787925651777,9.981622855604222,9.89902169693838,9.57137536237465,9.78063335306746,9.854868383260236,9.820882218052514,9.757775635619081,10.15553005802768,9.699322382693998,9.792428820692807,9.789193060154744,9.720194269404,9.787251843957117
YBR233W-A,10.093021249803861,10.55846111939941,10.388505429669303,10.062955212127507,10.2098950773362,10.134426320220927,10.14249125289236,10.023703468731817,10.119036614909879,10.076524396281325,10.09180931509279,10.338233623023804,10.180456184879947,10.297249467238382
YBR234C,10.368334978087372,10.571548132399078,10.118198451697316,10.344685344623327,10.432113471116459,10.214319120800766,10.166526171688872,10.239092977252826,10.270056745324359,10.247815919501573,10.304908993512736,10.42510408647953,10.321926442619633,10.330281781924713
YBR235W,10.685195983353054,10.427829255717395,10.39063800337491,10.61066466567522,10.624628014614085,10.52943055414615,10.394642047749041,10.53044833533754,10.548602110093354,10.552444479779764,10.59765331000905,10.73496907849923,10.633564205575613,10.713193378679437
YBR236C,10.304725577334525,10.511698446065747,10.222444546649287,10.11644130250479,9.94710427481927,10.140829770773001,10.206122325011458,10.216175295886925,10.199213676825481,10.190148850163785,10.147715426043732,10.13676691794865,10.159565344361601,10.06467002118945
YBR237W,10.489302298865875,10.812911408177047,10.479478527583815,10.579056471473608,10.335324445896788,10.561287945164828,10.526584860404245,10.545235383918628,10.53374975230065,10.42610909603853,10.519893666053006,10.245795286222275,10.450754625197405,10.394160537083708
YBR238C,8.732823784388332,8.820806129110805,8.906505727118743,8.305556092043501,9.025035268963016,8.912889336229961,8.709915814339206,8.965870846010525,8.749961528508312,8.988859573978365,9.038409014988847,8.564606173613617,8.929481910693402,8.84220430825922
YBR239C,10.906074738935331,10.481971689700172,10.831544612416543,10.986463359530164,11.187268956772154,10.813781191217037,10.874089072486068,11.020366891559284,10.954398020981634,10.902029105926372,10.828246005295595,10.399587732002166,11.009338642289343,10.962302837899404
YBR240C,10.501962716448102,10.26551116950439,10.223641298874274,10.36050346640759,10.335324445896788,10.328674927327947,10.453407179444364,10.54890858537294,10.600431879213408,10.181719255850307,10.320282058997504,10.062833779971534,10.26438485061311,10.258548271093296
YBR241C,9.46304669407106,9.994636709388663,9.426426567319282,9.714760539113072,9.838284525889739,9.554588851677638,9.58030899706819,9.706075081403919,9.51757076961902,9.72275336569915,9.718408377456727,9.622742835964528,9.611580512358227,9.696062667678538
YBR242W,9.581103714370013,9.797095756552224,9.254423524500961,9.631872828293298,9.375908750083253,9.417852514885897,9.41061954867013,9.523977726621412,9.491454487544306,9.556668195456718,9.67340834041107,9.547290184256362,9.537946818535742,9.590951122634573
YBR243C,8.455358144071777,8.933224254314268,9.004449090998746,8.865003502941152,8.867813489891057,9.025139562278508,9.013129446950941,8.753086325781645,8.742599182625291,9.300519836084584,9.014551665804806,9.009004827806823,9.05545173829157,8.86814338276036
YBR244W,9.720333276623837,9.938498337526317,9.876373162332046,9.591011940299978,9.72058215689047,9.753216749178955,9.72362215801915,9.624875106169537,9.665056410727699,10.00187606299534,9.794431697003937,8.986329198732706,9.789822558448531,9.494327645374845
YBR245C,10.66844674886545,10.294741447648986,10.673249185529858,10.73722056686414,10.906501112817088,10.7714894695006,10.758163703779196,10.813004939546879,10.675810814811966,10.610122303984816,10.71543926753144,10.807906767658089,10.648635335431614,10.647312163677892
YBR246W,10.262566991695339,10.054898271347266,10.405478400687775,10.395821523739507,10.591482401277077,10.554588851677638,10.555613896963356,10.681982232809736,10.418353632189843,10.318725486837879,10.518682652087286,10.329251805020508,10.217987645282008,10.344210197861184
YBR247C,11.011659872994006,10.567198971991346,10.909464142448474,11.023064129058953,11.164910810696195,11.042343379793692,10.989920767299589,11.056941549419586,11.042474042510957,10.902029105926372,10.872527205614329,10.788377555322528,10.844600076511968,10.680628799834569
YBR248C,10.39403286490379,9.951905239885019,10.009996565974287,10.451934383304907,10.165539023707524,10.544964432789238,10.526584860404245,10.574362419889145,10.525193531613347,10.318725486837879,10.23878544866896,9.950175507252183,10.374241677697098,10.316217582926464
YBR249C,8.965436559201654,8.530384396383068,8.549892119466039,8.14212912650183,8.974508095665813,8.499845887083206,8.806464164732146,8.921223401358644,8.345791449755135,8.899156605053264,8.68384382700586,8.296200950754383,8.608293355229272,8.705015094731097
YBR250W,8.956265829070768,9.00572462138396,8.392794943337835,7.995121797118502,7.977373243838701,8.092757140919852,8.399989327683535,8.548128914250457,7.995541860879531,8.565078710079465,8.504603095405312,8.220500159461604,8.325303806685403,8.487986323199596
YBR251W,9.513937160121854,9.697145268234905,9.593112277494779,9.712521258434483,9.558514281133478,9.677719641641009,9.532438186782084,9.501407238699674,9.572584585971535,9.563172873045643,9.61793983502522,9.622742835964528,9.585712057370545,9.399685237692697
YBR252W,10.457156482551353,10.219139021200487,10.178686647894468,10.367636585273015,10.522815261176188,10.325305455089682,10.340070702096433,10.234538472862717,10.390359927154272,10.177485916321306,10.30911791978005,10.245795286222275,10.159565344361601,10.213731226137176
YBR253W,9.372876332918697,9.407140215675648,9.106580235180244,9.13957346072756,8.811353481751967,9.18239435340453,9.32778356548386,9.226590707593736,9.34843079125796,9.427157298519367,9.23997892373845,9.009004827806823,9.157317821271743,9.199704669605447
YBR254C,10.281048374105545,10.42302376473185,10.498389486703378,10.094252575819324,10.048288522744661,10.049848549450562,9.923920671669668,10.188184700469034,10.149975416452042,10.177485916321306,10.038727195619932,10.491020451376928,10.124060642267438,10.135796206153104
YBR255W,9.197180924803725,9.697145268234905,9.60968439655353,8.995978953856415,9.295862477473644,9.375039431346925,9.120642369931307,9.374678150682119,9.338697819228917,9.427157298519367,9.395853390734274,9.827969019490272,9.205674746389466,9.494327645374845
YBR255C-A,9.269305757308269,9.285337172304791,9.45320079004893,9.26099607888352,9.72058215689047,9.169925001442312,9.201232589316636,9.198803411775344,9.248013623944733,9.323690717568663,9.401120516650833,9.789193060154744,9.291394303298134,9.279190099679955
