ID,Symbol,GeneTitle,Loading,p value
YNL274C,GOR1,GlyOxylate Reductase,0.0245062072305912,0.09486
YDL199C,NA,NA,0.0244805849778546,0.04171
YLR286C,CTS1,ChiTinaSe,0.0243272882801083,0.39347
YML004C,GLO1,GLyOxalase,0.024252138922372,0.03986
YLR345W,NA,NA,0.0242425438103962,0.04238
YDR077W,SED1,Suppression of Exponential Defect,0.0242086591111728,0.0939
YML075C,HMG1,3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase,0.0242031265222687,0.05204
YDR204W,COQ4,COenzyme Q,0.0241789282024847,0.02611
YJR148W,BAT2,Branched-chain Amino acid Transaminase,0.0241694568636402,0.1192
YDL169C,UGX2,Unidentified Gene X,0.0241641435286133,0.06523
YDL174C,DLD1,D-Lactate Dehydrogenase,0.0241095991357574,0.20699
YBL064C,PRX1,PeroxiRedoXin,0.0240703809783652,0.03269
YIR041W,PAU15,seriPAUperin,0.0240151220618694,0.0908
YNL237W,YTP1,Yeast putative Transmembrane Protein,0.0239214745337097,0.03148
YOR215C,AIM41,Altered Inheritance of Mitochondria,0.0238968201395597,0.04517
YJR095W,SFC1,Succinate-Fumarate Carrier,0.0238470517572893,0.22483
YMR090W,NA,NA,0.0237154070371473,0.13587
YJL161W,FMP33,Found in Mitochondrial Proteome,0.0236834773284344,0.05101
YEL039C,CYC7,CYtochrome C,0.0236766654239995,0.0584
YGR247W,CPD1,Cyclic nucleotide PhosphoDiesterase,0.0235782450081463,0.14159
YDL179W,PCL9,Pho85 CycLin,0.0235515808340819,0.24746
YBR132C,AGP2,high-Affinity Glutamine Permease,0.0233470499491511,0.17187
YCR061W,TVS1,Transmembrane protein Vital for Stress response,0.0232596804178575,0.05669
YHR016C,YSC84,NA,0.02316208278398,0.06702
YOL155C,HPF1,Haze Protective Factor,0.0230520733175373,0.07903
YNL015W,PBI2,Proteinase B Inhibitor,0.0230445527189221,0.05627
YIL099W,SGA1,Sporulation-specific GlycoAmylase,0.0229783088998913,0.03375
YKL142W,MRP8,Mitochondrial Ribosomal Protein,0.0229747183532806,0.04294
YNL239W,LAP3,Leucine AminoPeptidases,0.0228883736196197,0.07191
YPL109C,CQD1,CoQ Distribution,0.0227900371493598,0.02687
YMR041C,ARA2,ARAbinose,0.022739510279294,0.06898
YGL010W,MPO1,Metabolism of PHS to Odd-numbered fatty acids,0.0227119648981586,0.07284
YDR085C,AFR1,Alpha-Factor Receptor regulator,0.0226723699867031,0.06615
YOR230W,WTM1,WD repeat containing Transcriptional Modulator,0.0226312921667401,0.08844
YFR053C,HXK1,HeXoKinase,0.0226118759689544,0.23337
YHL024W,RIM4,Regulator of IME2,0.02254905275598,0.09535
YHR106W,TRR2,ThioRedoxin Reductase,0.022485372298788,0.03846
YBR183W,YPC1,Yeast Phyto-Ceramidase,0.0224518119087811,0.09196
YLR356W,ATG33,AuTophaGy related,0.0224309182238463,0.12139
YAL028W,FRT2,Functionally Related to TCP1,0.0224210160154349,0.0424
YCR021C,HSP30,Heat Shock Protein,0.0223988046249267,0.38481
YGR254W,ENO1,ENOlase,0.022345637340071,0.1089
YOL151W,GRE2,Genes de Respuesta a Estres (stress responsive genes),0.0222953353433556,0.29534
