Symbol,T1,T3,T4,T8,T9,T10,T11,T12,T13,T15,T16
YAL028W,10.87459808285838,10.553942473531059,10.714514376156496,10.490254979006815,10.421745676190723,10.38291495500935,10.58634526940899,10.540041824333612,10.603321206628396,10.748590054877294,10.715004819345936
YAL027W,9.260220355079344,9.565132283328262,9.546715785682393,9.484261553509672,9.27009401463737,9.462106203553498,9.252071126425248,9.570381809098254,9.398875730515106,9.4726736641459,9.56014050132803
YAL026C-A,8.681834024927383,8.818644383775,8.572116642895127,8.550838801986117,8.594822067918605,8.276646604548603,8.351885725836372,8.736753138414057,8.398369546584535,8.326280147786315,8.546324976126208
YAL026C,12.728316705787345,12.820813773525789,12.742600748753654,12.674954771363893,12.74156991765173,12.696344006873405,12.649073623919541,12.607018127213859,12.71304448297107,12.629434517789335,12.687729827835021
YAL025C,10.788361753742072,10.4399713377511,10.635387186246916,10.639861049276881,10.708574966124143,10.72728065747151,10.72491282193206,10.408889569997184,10.417510487779465,10.202027391742458,10.362192157036326
YAL024C,12.765668855091667,12.780406180564041,12.62716262337835,12.705355827804453,12.74849839342318,12.646150890696163,12.650082344598442,12.636632194662752,12.684054369866631,12.597406896370979,12.617037819826084
YAL023C,12.023640647046545,11.950714219776241,12.105747399747315,12.090431692437257,12.089403136005023,12.127138402135555,12.307390105115061,12.021777539742809,12.189576527534935,12.240628597120878,11.976071931017394
YAL022C,11.023455487622552,10.559070174522756,11.064060917446879,10.882666163762389,11.011952103989623,11.072164203998978,11.175205378364824,10.882089870436936,11.043710107417597,11.161666760118079,10.998267634344122
YAL021C,12.436063848964833,12.098610751213007,12.437628362806032,12.266486315376739,12.23763080842074,12.214062558312317,12.327075544996147,12.116636125750004,12.281687439493396,12.424187694935146,12.212389742977008
YAL020C,9.85758141422511,9.457579264243282,9.768155272709302,9.814180275098163,10.012650563945044,9.744675856000919,10.382954043284712,9.757934981643096,9.915449601849543,9.438371087659535,9.771027944074486
YAL019W-A,8.649124846900964,8.097969078073838,8.22649530264936,8.519895533102705,8.609657072816443,8.586673466951623,9.04680144457707,8.552789650108405,8.6456217819052,8.262354106915952,8.168970587526495
YAL019W,12.694654012806593,12.686688319316874,12.787912896635037,12.689366544993272,12.651249914552906,12.670600151847035,12.595100126858988,12.591979972340619,12.580073035891402,12.58439407748429,12.598095146080261
YAL018C,8.13057250286429,8.543082508882842,8.128570751897117,8.282441069622339,8.441576204897688,8.34768106929516,8.270266550906241,8.793206591128923,8.480594144957621,8.181705152683222,8.608223451050772
YAL017W,12.973151303223126,13.006345360971089,13.081250342067534,12.858518685062078,12.855249005497832,12.783794061756886,12.82149419284836,12.886714651167427,12.900671209664225,12.983765476194657,12.928152814662868
YAL016C-B,6.896567215130546,7.6434396252923165,7.035815262368089,7.230853087384673,7.4164893044389775,7.107985494196471,7.085109381628835,7.530295977635744,7.223203123935685,7.318246575628551,7.329068729692012
YAL016C-A,8.649124846900964,8.398009954199575,8.372679528500724,8.235597009847115,8.279403948185719,8.61574475935222,8.438505088969746,8.713538346896641,8.548886637682449,8.68924088583231,8.3428971417147455
YAL016W,12.138068438197122,12.116691623827132,12.104540565837365,11.948049697347095,11.95718182698175,11.981187595081014,11.97043001857235,12.055634385190553,12.017778978177438,12.01870050646088,12.043436605667614
